,city,train_len,train_RMSE,test_RMSE,class
0,Opfikon_Balsberg,3.0,5.7627202215177515,20.784785920963607,high traffic
0,StGallen_Blumenbergplatz,3.0,7.188792358954653,20.545086678884278,low traffic
0,StGallen_Stuelegg,3.0,3.757387206683183,11.137156727008993,no traffic
0,Zuerich_Schimmelstrasse,3.0,6.164169040649669,32.42490367429605,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.900674536294226,24.882303659889814,low traffic
0,Opfikon_Balsberg,6.0,5.06740623221652,11.63417760954986,high traffic
0,StGallen_Blumenbergplatz,6.0,6.017072827596691,22.002680461342255,low traffic
0,StGallen_Stuelegg,6.0,2.211927720416846,11.887570272106759,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.257025313745697,27.56057006510942,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.218965431416421,25.07011019798688,low traffic
0,Opfikon_Balsberg,9.0,5.337119796243099,12.061059658020934,high traffic
0,StGallen_Blumenbergplatz,9.0,5.954312206948417,22.252339069851466,low traffic
0,StGallen_Stuelegg,9.0,2.165911523185443,13.057700282533624,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.323285126554555,23.356202533210933,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.197345923268521,27.357012998575374,low traffic
0,Opfikon_Balsberg,12.0,6.251147849708066,12.10905946276174,high traffic
0,StGallen_Blumenbergplatz,12.0,6.380414628935408,16.731866467322476,low traffic
0,StGallen_Stuelegg,12.0,2.6476013247962733,7.849749219123182,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.632408246174446,7.865229386822102,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.454026077842207,8.441805387496574,low traffic
0,Opfikon_Balsberg,18.0,6.226696596988928,12.437104856111672,high traffic
0,StGallen_Blumenbergplatz,18.0,6.5955926443135775,16.28077237836172,low traffic
0,StGallen_Stuelegg,18.0,2.603508766758568,7.0805921127791995,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.891592389431952,7.797331191230303,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,6.776917508761521,9.73750972514,low traffic
0,Opfikon_Balsberg,24.0,7.172087160291215,12.860970415068838,high traffic
0,StGallen_Blumenbergplatz,24.0,7.429491706288209,21.40787209473256,low traffic
0,StGallen_Stuelegg,24.0,2.9262621903786306,9.578453045360892,no traffic
0,Zuerich_Schimmelstrasse,24.0,7.599873937689973,11.291602256442637,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.429873579190648,11.340061234532865,low traffic
0,Opfikon_Balsberg,3.0,8.18142974641618,14.721701564135369,high traffic
0,StGallen_Blumenbergplatz,3.0,8.941628857199344,23.18749685722257,low traffic
0,StGallen_Stuelegg,3.0,4.765702744979711,6.485765761462948,no traffic
0,Zuerich_Schimmelstrasse,3.0,7.127745939423728,12.382858340943137,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,6.411483312877849,14.384522132175041,low traffic
0,Opfikon_Balsberg,6.0,5.920297554181325,13.119651876403742,high traffic
0,StGallen_Blumenbergplatz,6.0,7.155858264983606,22.091897611428923,low traffic
0,StGallen_Stuelegg,6.0,2.4384009892471328,8.518540374705488,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.422041919092073,17.01885943872276,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.503404585439629,10.794352791231587,low traffic
0,Opfikon_Balsberg,9.0,5.832789671232509,13.956660224189791,high traffic
0,StGallen_Blumenbergplatz,9.0,6.698458514613734,22.303523572404558,low traffic
0,StGallen_Stuelegg,9.0,2.2621804709401383,8.29404389972937,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.402054792260896,23.214098977714656,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.436573583983966,17.260201440130658,low traffic
0,Opfikon_Balsberg,12.0,6.415141178295074,12.104763107927308,high traffic
0,StGallen_Blumenbergplatz,12.0,6.840063614594743,22.097676666719387,low traffic
0,StGallen_Stuelegg,12.0,2.768052302964635,7.274740919540593,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.727972411842444,10.16878391859611,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.624426134999563,7.15997751856073,low traffic
