,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-01-20,70.59428571428572,Opfikon_Balsberg,58.708747302530185,54.86236003479094,47.40427200853566,2,high traffic,2016
2016-01-21,63.66708333333333,Opfikon_Balsberg,55.81216210188796,51.12690570049672,45.5421219285419,3,high traffic,2016
2016-01-22,62.9475,Opfikon_Balsberg,61.71117320820753,56.28756559231336,48.11201008332326,4,high traffic,2016
2016-01-23,56.91416666666667,Opfikon_Balsberg,49.611046541412755,52.86850366363981,41.198118821325885,5,high traffic,2016
2016-01-24,53.91090909090909,Opfikon_Balsberg,42.247660011017246,50.59978278479142,36.343018059502995,6,high traffic,2016
2016-01-25,64.03500000000001,Opfikon_Balsberg,43.260888156480895,43.260888156480895,32.28443990736292,0,high traffic,2016
2016-01-26,59.86666666666667,Opfikon_Balsberg,36.808471649159515,35.02253074521261,27.488952894724694,1,high traffic,2016
2016-01-27,62.842083333333356,Opfikon_Balsberg,43.20387061587573,40.373307446172454,32.91521941991718,2,high traffic,2016
2016-01-28,62.9959090909091,Opfikon_Balsberg,44.15860339930836,40.451626793109,34.86684302115418,3,high traffic,2016
2016-01-29,62.57583333333334,Opfikon_Balsberg,38.0801185242514,34.73337254446806,26.55781703547796,4,high traffic,2016
2016-01-30,29.75541666666668,Opfikon_Balsberg,35.181583380185415,37.491603170986345,25.821218328672423,5,high traffic,2016
2016-01-31,28.12583333333333,Opfikon_Balsberg,34.35806256688544,41.150456672329604,26.893691947041177,6,high traffic,2016
2016-02-01,32.66954545454546,Opfikon_Balsberg,32.241463283958154,32.241463283958154,21.265015034840182,0,high traffic,2016
2016-02-02,42.70499999999999,Opfikon_Balsberg,34.990900868676846,33.29314819578779,25.759570345299874,1,high traffic,2016
2016-02-03,49.4725,Opfikon_Balsberg,37.168651703015215,34.73349450347894,27.27540647722366,2,high traffic,2016
2016-02-04,33.64249999999999,Opfikon_Balsberg,40.96443491394435,37.52559875920884,31.940814987254022,3,high traffic,2016
2016-02-05,47.06695652173913,Opfikon_Balsberg,38.27808425683032,34.913939669970134,26.738384160980033,4,high traffic,2016
2016-02-06,53.80782608695653,Opfikon_Balsberg,38.33698742586266,40.85419077957262,29.183805937258697,5,high traffic,2016
2016-02-07,44.23,Opfikon_Balsberg,36.65577082247463,43.902408818444094,29.645644093155667,6,high traffic,2016
2016-02-08,27.057499999999994,Opfikon_Balsberg,36.874811853509996,36.874811853509996,25.898363604392024,0,high traffic,2016
2016-02-09,58.97166666666666,Opfikon_Balsberg,35.84275647333769,34.10367190861892,26.570094058131,1,high traffic,2016
2016-02-10,40.88681818181818,Opfikon_Balsberg,34.92210920556653,32.63413744015464,25.176049413899364,2,high traffic,2016
2016-02-11,55.79666666666667,Opfikon_Balsberg,33.92155568313751,31.07394720634295,25.489163434388132,3,high traffic,2016
2016-02-12,33.74666666666667,Opfikon_Balsberg,38.907352948573106,35.487903847286255,27.312348338296154,4,high traffic,2016
2016-02-13,47.57041666666668,Opfikon_Balsberg,42.40242820130422,45.18656805267302,33.516183210359095,5,high traffic,2016
2016-02-14,46.5990909090909,Opfikon_Balsberg,33.248660298782774,39.821731867871534,25.564967142583107,6,high traffic,2016
2016-02-15,45.26624999999999,Opfikon_Balsberg,39.54571056356816,39.54571056356816,28.569262314450185,0,high traffic,2016
2016-02-16,26.99958333333333,Opfikon_Balsberg,28.537391798371765,27.152762308985324,19.619184458497404,1,high traffic,2016
2016-02-17,37.54125,Opfikon_Balsberg,35.955561234790245,33.59988138651735,26.141793360262078,2,high traffic,2016
2016-02-18,50.76681818181819,Opfikon_Balsberg,48.45238528101342,44.38495911884255,38.800175346887734,3,high traffic,2016
2016-02-19,54.27333333333333,Opfikon_Balsberg,44.22573088588036,40.338865697920475,32.163310188930375,4,high traffic,2016
2016-02-20,39.683333333333344,Opfikon_Balsberg,40.47502764282375,43.132614536448244,31.462229694134322,5,high traffic,2016
2016-02-21,20.68458333333333,Opfikon_Balsberg,29.316549002832467,35.112264469941685,20.855499744653258,6,high traffic,2016
2016-02-22,39.96636363636364,Opfikon_Balsberg,34.01651769384191,34.01651769384191,23.04006944472394,0,high traffic,2016
2016-02-23,35.88583333333333,Opfikon_Balsberg,31.46406226840674,29.9374312160478,22.40385336555988,1,high traffic,2016
2016-02-24,40.8875,Opfikon_Balsberg,38.808984958395946,36.26635898736923,28.808270961113955,2,high traffic,2016
2016-02-25,74.79541666666667,Opfikon_Balsberg,35.46564090813991,32.48841130734143,26.90362753538661,3,high traffic,2016
2016-02-26,36.82,Opfikon_Balsberg,44.874731362402336,40.93082749337073,32.75527198438063,4,high traffic,2016
2016-02-27,37.582083333333344,Opfikon_Balsberg,23.039425100037842,24.552191804555708,12.881806962241786,5,high traffic,2016
2016-02-28,34.66625,Opfikon_Balsberg,18.973186766651185,22.72407818273184,8.467313457443412,6,high traffic,2016
2016-02-29,51.0075,Opfikon_Balsberg,53.07948605521202,53.07948605521202,42.10303780609405,0,high traffic,2016
2016-03-01,65.0190909090909,Opfikon_Balsberg,51.986656687691315,49.464272777733086,41.93069492724516,1,high traffic,2016
2016-03-02,53.64583333333334,Opfikon_Balsberg,45.51765026371516,42.53549652213436,35.077408495879084,2,high traffic,2016
2016-03-03,55.78583333333333,Opfikon_Balsberg,43.625591218377465,39.963359317250934,34.378575545296115,3,high traffic,2016
2016-03-04,57.18666666666668,Opfikon_Balsberg,39.61245664141057,36.131038117737816,27.955482608747715,4,high traffic,2016
2016-03-05,55.66499999999999,Opfikon_Balsberg,46.93686775815593,50.01873852752592,38.348353685212,5,high traffic,2016
2016-03-06,39.939583333333346,Opfikon_Balsberg,32.69449880204375,39.15801578619087,24.901251060902446,6,high traffic,2016
2016-03-07,45.02238095238096,Opfikon_Balsberg,38.026952894267815,38.026952894267815,27.050504645149843,0,high traffic,2016
2016-03-08,60.945,Opfikon_Balsberg,48.46538551486398,46.11385309478514,38.58027524429722,1,high traffic,2016
2016-03-09,48.15956521739131,Opfikon_Balsberg,47.787921884872,44.657028061801654,37.19894003554638,2,high traffic,2016
2016-03-10,45.09869565217392,Opfikon_Balsberg,39.20045814280598,35.90970231944688,30.32491854749206,3,high traffic,2016
2016-03-11,33.33291666666667,Opfikon_Balsberg,23.29629741170034,21.248856575695807,13.073301066705708,4,high traffic,2016
2016-03-12,26.23083333333333,Opfikon_Balsberg,20.62461776012097,21.978828418826485,10.308443576512563,5,high traffic,2016
2016-03-13,14.384999999999998,Opfikon_Balsberg,18.697581371504306,22.39398716407869,8.137222438790262,6,high traffic,2016
2016-03-14,22.640454545454546,Opfikon_Balsberg,20.112348131439816,20.112348131439816,9.135899882321844,0,high traffic,2016
2016-03-15,38.01291666666667,Opfikon_Balsberg,40.26814901330119,38.31434514079711,30.78076729030919,1,high traffic,2016
2016-03-16,18.215000000000003,Opfikon_Balsberg,22.569157340489358,21.090506825418316,13.632418799163041,2,high traffic,2016
2016-03-17,38.95500000000001,Opfikon_Balsberg,45.5383750027249,41.715570887002364,36.130787115047546,3,high traffic,2016
2016-03-18,49.77136363636364,Opfikon_Balsberg,37.03550244758349,33.780564602608855,25.605009093618754,4,high traffic,2016
2016-03-19,58.59375000000001,Opfikon_Balsberg,38.51699312054028,41.046015632946684,29.375630790632762,5,high traffic,2016
2016-03-20,40.48374999999999,Opfikon_Balsberg,37.96732051502352,45.47324444666891,31.21647972138048,6,high traffic,2016
2016-03-21,36.925,Opfikon_Balsberg,31.303751810241344,31.303751810241344,20.327303561123372,0,high traffic,2016
2016-03-22,32.53045454545454,Opfikon_Balsberg,24.819774109546028,23.61552281024023,16.08194495975231,1,high traffic,2016
2016-03-23,44.91541666666666,Opfikon_Balsberg,30.078138759661762,28.107526623001995,20.64943859674672,2,high traffic,2016
2016-03-24,52.75416666666667,Opfikon_Balsberg,42.89753508570062,39.296421219205484,33.711637447250666,3,high traffic,2016
2016-03-25,38.18500000000001,Opfikon_Balsberg,47.210305743651965,43.06113533465529,34.88557982566519,4,high traffic,2016
2016-03-26,27.334090909090904,Opfikon_Balsberg,35.764398824367944,38.1126862279678,26.442301385653877,5,high traffic,2016
2016-03-27,42.61,Opfikon_Balsberg,36.117095514728305,43.257240457489054,29.000475732200627,6,high traffic,2016
2016-03-28,31.704166666666666,Opfikon_Balsberg,36.21758558700992,36.21758558700992,25.24113733789195,0,high traffic,2016
2016-03-29,41.398695652173906,Opfikon_Balsberg,41.484977884131965,39.472133677809246,31.938555827321327,1,high traffic,2016
2016-03-30,50.20045454545456,Opfikon_Balsberg,36.04978741502527,33.68793420423662,26.229846177981344,2,high traffic,2016
2016-04-01,37.79478260869565,Opfikon_Balsberg,39.17189834417175,35.72919915140668,27.55364364241658,4,high traffic,2016
2016-04-02,25.256666666666664,Opfikon_Balsberg,23.334961137526392,24.867132713283723,13.196747870969801,5,high traffic,2016
2016-04-03,39.364090909090905,Opfikon_Balsberg,32.512985070716844,38.940617819647784,24.683853094359357,6,high traffic,2016
2016-04-04,39.522083333333335,Opfikon_Balsberg,34.6627656928057,34.6627656928057,23.686317443687727,0,high traffic,2016
2016-04-05,34.37416666666667,Opfikon_Balsberg,37.46912622289299,35.65113046924037,28.117552618752452,1,high traffic,2016
2016-04-06,49.83750000000001,Opfikon_Balsberg,37.19450414909576,34.757653189702346,27.29956516344707,2,high traffic,2016
2016-04-07,47.540000000000006,Opfikon_Balsberg,36.06872678013437,33.04087000712219,27.45608623516737,3,high traffic,2016
2016-04-08,24.17833333333333,Opfikon_Balsberg,25.952524361218536,23.67163580474457,15.496080295754473,4,high traffic,2016
2016-04-09,38.85083333333333,Opfikon_Balsberg,32.14481532380286,34.25544118072341,22.585056338409487,5,high traffic,2016
2016-04-10,20.867083333333333,Opfikon_Balsberg,17.280463482371978,20.696713105542937,6.439948380254508,6,high traffic,2016
2016-04-11,36.36000000000001,Opfikon_Balsberg,32.7159695194454,32.7159695194454,21.73952127032743,0,high traffic,2016
2016-04-12,37.0808695652174,Opfikon_Balsberg,34.95323147047884,33.25730651050627,25.72372866001835,1,high traffic,2016
2016-04-13,52.35,Opfikon_Balsberg,39.29893809922067,36.72421214975384,29.266124123498564,2,high traffic,2016
2016-04-15,49.14347826086957,Opfikon_Balsberg,32.41053338651157,29.56207002774177,21.386514518751667,4,high traffic,2016
2016-04-16,38.2340909090909,Opfikon_Balsberg,33.90999153136499,36.13651870886158,24.466133866547658,5,high traffic,2016
2016-04-17,36.71083333333333,Opfikon_Balsberg,34.026294169859725,40.75309954485836,26.49633481956993,6,high traffic,2016
2016-04-18,49.26791666666667,Opfikon_Balsberg,37.69925192040251,37.69925192040251,26.722803671284538,0,high traffic,2016
2016-04-19,29.17,Opfikon_Balsberg,26.09699841525748,24.830776405707944,17.297198555220024,1,high traffic,2016
2016-04-20,26.115,Opfikon_Balsberg,20.193793376428516,18.870768217499528,11.412680191244252,2,high traffic,2016
