,no2_2020,city,no2_2019,pre_lockdown_model,dummy,lockdown_model,weekday,class
4/24,37.2686956521739,StGallen_Blumenbergplatz,19.429166666666664,33.43981461472019,32.20864040903539,28.66777644004899,4,low traffic
4/25,22.19125,StGallen_Blumenbergplatz,,23.707771481562084,28.385452217723,19.637378209700913,5,low traffic
3/16,7.878260869565217,StGallen_Stuelegg,,6.577627241504686,6.577627241504686,5.046969875496268,0,no traffic
3/17,8.910833333333333,StGallen_Stuelegg,,5.71647513378865,5.597546065086521,3.7466308171090175,1,no traffic
3/18,8.415833333333335,StGallen_Stuelegg,0.3113043478260869,5.406145585741832,5.778670337209471,6.422593455376912,2,no traffic
3/19,8.474782608695651,StGallen_Stuelegg,4.73125,6.868571178628325,6.863011916304776,9.36228936775232,3,no traffic
3/20,8.3975,StGallen_Stuelegg,6.834583333333334,6.437448904895874,5.858839847276704,8.325587014450278,4,no traffic
3/21,8.195,StGallen_Stuelegg,9.41095238095238,7.869536384010493,8.537988039839677,10.18332811341505,5,no traffic
3/22,4.955217391304347,StGallen_Stuelegg,13.797916666666667,9.913168397110189,13.112208381197727,12.26392111694932,6,no traffic
3/23,6.53,StGallen_Stuelegg,7.632083333333334,16.200197965037056,16.200197965037056,14.669540599028638,0,no traffic
3/24,8.41125,StGallen_Stuelegg,6.37913043478261,16.41125761060867,16.06982770176083,14.218912453783325,1,no traffic
3/25,11.113478260869565,StGallen_Stuelegg,8.090416666666668,14.198986034369323,15.177404698767921,15.821327816935362,2,no traffic
3/26,13.887083333333335,StGallen_Stuelegg,5.700833333333335,17.122959780679874,17.109100853881166,19.60837830532871,3,no traffic
3/27,13.787083333333333,StGallen_Stuelegg,7.940869565217392,14.070308061425093,12.80564440224779,15.272391569421362,4,no traffic
3/28,10.563913043478264,StGallen_Stuelegg,5.613333333333332,8.569844296213683,9.297781283917523,10.943121357492895,5,no traffic
3/29,11.508260869565218,StGallen_Stuelegg,5.99875,6.478152156994483,8.568691421844413,7.720404157596006,6,no traffic
3/30,8.084166666666668,StGallen_Stuelegg,5.59608695652174,13.679121879952397,13.679121879952397,12.14846451394398,0,no traffic
