,RMSE_train_1,RMSE_test_1,R_squared_1,FAC2_1,testdays_1,traindays_1,ratio_1,avg_err_1,RMSE_train_2,RMSE_test_2,R_squared_2,FAC2_2,testdays_2,traindays_2,ratio_2,avg_err_2,RMSE_train_3,RMSE_test_3,R_squared_3,FAC2_3,testdays_3,traindays_3,ratio_3,avg_err_3,RMSE_train_4,RMSE_test_4,R_squared_4,FAC2_4,testdays_4,traindays_4,ratio_4,avg_err_4,RMSE_train_5,RMSE_test_5,R_squared_5,FAC2_5,testdays_5,traindays_5,ratio_5,avg_err_5,RMSE_train_6,RMSE_test_6,R_squared_6,FAC2_6,testdays_6,traindays_6,ratio_6,avg_err_6,RMSE_train_7,RMSE_test_7,R_squared_7,FAC2_7,testdays_7,traindays_7,ratio_7,avg_err_7,RMSE_train_8,RMSE_test_8,R_squared_8,FAC2_8,testdays_8,traindays_8,ratio_8,avg_err_8,RMSE_train_9,RMSE_test_9,R_squared_9,FAC2_9,testdays_9,traindays_9,ratio_9,avg_err_9,RMSE_train_10,RMSE_test_10,R_squared_10,FAC2_10,testdays_10,traindays_10,ratio_10,avg_err_10,RMSE_train_11,RMSE_test_11,R_squared_11,FAC2_11,testdays_11,traindays_11,ratio_11,avg_err_11,RMSE_train_12,RMSE_test_12,R_squared_12,FAC2_12,testdays_12,traindays_12,ratio_12,avg_err_12,mean,max,min,diff
Opfikon_Balsberg,7.172087160291215,12.860970415068838,0.679829957356128,1.0,30,728,1.031785531505332,-4.673776093343218,6.815153877199395,11.169931554838984,0.6728403363928224,1.0,27,728,0.954628587313618,8.024260584166537,6.852958884404369,8.249158542281878,0.6739710135597544,1.0,29,728,0.9842614994523203,2.827506096663649,6.860867201862218,7.618907368054883,0.6667890437423709,1.0,28,727,0.9997630421234209,0.6770047074219658,6.848596633818022,6.775931684152819,0.6659932051282083,1.0,30,726,1.0414007476005922,-2.6185922444433967,6.87570823692956,6.585651903411709,0.6691053899448378,1.0,29,726,1.0500723296661654,-4.042328243467336,6.8668141186340685,4.672939846962832,0.6715454192355952,1.0,30,726,1.0246242961914673,-1.4239100257466533,6.840955694117691,4.688926057840802,0.6843797898052486,1.0,30,726,1.0356858957164519,-2.222967941362776,6.81681148463506,5.712981028728123,0.6849145604747013,1.0,29,726,1.0309916015211835,-2.9086622300527516,6.836417037126429,7.869840110366238,0.6868828596600283,1.0,30,726,1.0455241283288175,-5.094321396491741,6.871688737564277,11.063988485985385,0.6789228043154587,1.0,29,726,1.0646819735969437,-9.199536507479728,7.005357437967241,8.409678051895877,0.6654519153787443,1.0,30,726,1.0312528377925674,-4.124584035304243,35.05565744224714,88.38583333333332,9.216363636363637,79.16946969696968
StGallen_Blumenbergplatz,7.429491706288209,21.40787209473256,0.6682617877849033,1.0,30,726,1.0187821663044712,-3.60102112177617,7.212448682158733,19.94158748155349,0.6542282373622832,1.0,27,726,0.9223003290197618,15.867627172489708,7.733400385980112,7.454373079901711,0.6579384667045753,1.0,29,726,0.9888540523096957,2.175407311616308,7.650317684335709,6.989077910418081,0.6642625279497995,1.0,27,725,1.0293590497203222,-2.279382011316994,7.653028716235923,7.675895225098493,0.6667271128729239,1.0,30,723,1.0142268817056315,-1.1137518739971706,7.68125191380537,6.648553152708597,0.6622490332694009,1.0,29,723,0.9945837832646667,1.5216732166495335,7.708477830190034,5.631279663410058,0.6591207970789489,1.0,30,723,1.0386810376086464,-2.119727603074386,7.693485948770764,6.870445482531974,0.6537459524875291,1.0,30,723,1.0532891421356958,-3.7640250896702656,7.776275133205086,5.909157162117048,0.6401603632240198,1.0,29,723,1.0368073903445298,-3.1366246612583235,7.784611485778449,7.517577687801504,0.6443697930220775,1.0,30,723,1.0362386966576342,-3.1582982697351696,7.721304767122778,8.298863492628744,0.6349885243665352,1.0,29,723,1.0395497506026492,-4.790965955290444,7.737923473831003,10.645720941396467,0.6235339669991048,1.0,27,723,1.0404320573837442,-2.3602592005190592,33.84313714995033,100.14916666666664,10.674166666666665,89.47499999999998
StGallen_Stuelegg,2.9262621903786306,9.578453045360892,0.6357598979726408,0.9333333333333333,30,728,0.8836775803390803,0.9276577797952512,2.8107992762355933,6.321936597004367,0.61796141242066,0.9629629629629629,27,728,0.7005239680584313,5.083003116288048,2.9263312911181107,2.493165860426689,0.6161757172348218,0.8620689655172413,29,728,0.7045096386464715,0.2949541816261476,2.887919923921536,2.8496357445698948,0.6125593757114369,1.0,28,727,-5.574204858583852,0.725714727922571,2.8663859432605303,1.669028139370587,0.6178022090188116,1.0,30,726,0.9327779367801168,0.7135170171793753,2.8470311890366813,1.7264981388874394,0.6222006700750183,1.0,29,726,0.9114829069815858,0.8530915401143463,2.843129336350406,1.6622835019633615,0.6180067154287143,1.0,30,726,0.9404762613791068,0.6676547404374075,2.8542101487192757,1.033586643164126,0.6102992340621987,1.0,30,726,1.0995941412957646,-0.3624791097392323,2.837845757160663,2.1222294225128167,0.6137516982812214,0.9655172413793104,29,726,2.615916762279109,0.3331757623096951,2.8410444399620816,2.4232754358881134,0.6103117834892947,1.0,30,726,0.7204638985730654,0.153406817641204,2.8243280221956417,2.588839070791052,0.6263697966966029,1.0,29,726,1.211904008020362,0.03223921463389759,2.863826097182667,2.6929481293552997,0.619064859117485,0.9666666666666667,30,726,-0.21492556081585837,-1.1221042946227255,6.612883140266678,46.68608695652173,0.014166666666666631,46.67192028985506
Zuerich_Schimmelstrasse,7.599873937689973,11.291602256442637,0.6934114307275916,1.0,30,726,1.0669528385977254,-8.04112851644051,7.075387711061029,6.131987191658897,0.7026394110592907,1.0,27,726,0.9990825930873505,1.4550317297474251,7.020786096537289,8.76726785684791,0.7137303061567875,1.0,29,726,1.054875698887994,-3.8255150100061184,7.081859956773436,9.291909771249582,0.7139383586521575,1.0,28,725,1.0115996804857714,-1.614200957426563,7.064477904755096,5.933392907949493,0.7133101891044895,1.0,30,724,1.008366640177515,-0.5529196881675079,6.963931635543584,5.874775485949799,0.7201818376063893,1.0,29,724,1.0157148032071601,-0.8528207988329608,6.95019977850723,6.762552594599654,0.7157774835569957,1.0,30,724,1.0215531374208882,-0.5389315962480176,6.915727809112236,6.760524377209658,0.7181395048829711,1.0,30,724,1.0442539509101292,-4.239551190337435,6.913721345445284,10.556681399959286,0.7144198391469525,1.0,29,724,1.0753615037873625,-7.623291379040696,7.01442869312653,12.766817968411221,0.7070061849964939,1.0,30,724,1.09177004657587,-10.959600395384717,7.078755167907117,8.917734661817553,0.6933786896050653,1.0,29,724,1.0482569769016024,-5.5541809152295265,6.993701237759837,9.796824200742735,0.6916144703355251,1.0,30,724,1.0482993229566722,-3.2798934923847827,38.00521959396801,89.43124999999998,5.651666666666667,83.7795833333333
Zuerich_Stampfenbachstrasse,7.429873579190648,11.340061234532865,0.7473096681583775,1.0,30,728,1.0394254257536333,-4.552519046904331,6.9283785009378525,7.159842754889084,0.7394203105782737,1.0,27,728,1.030623757153268,-3.2540053394135375,6.908341947519301,6.799590956277205,0.7457108780217263,1.0,29,728,1.0336117504249567,-1.8631653686792422,6.89921098936543,9.739221591398517,0.7471085064303375,1.0,28,727,1.068789382045826,-4.756995636314061,6.8895924068608805,7.5815325117674375,0.7468740740518363,1.0,30,726,1.0142294726287862,0.7867335170021892,6.97623089665049,4.061010997237788,0.7463178165026998,1.0,29,726,0.9987930439627879,1.2025550070597355,6.978848453845293,6.909527304851785,0.7361217140362675,1.0,30,726,1.012700268266365,0.953213059558954,7.06574019242576,3.7626396274811116,0.7252334749650371,1.0,30,726,1.0265853670921412,-0.9402558837872327,6.977264130160545,4.652038198885071,0.7314070334135231,1.0,29,726,1.044416546221688,-2.229561772744295,6.916524408021788,9.802861868054778,0.7328900045393183,1.0,30,726,1.0968186152023995,-8.203037183040314,6.85665854758062,9.545469097656921,0.7195731558601081,1.0,29,726,1.065121583246715,-4.805391643823144,6.704624114873784,9.496676498981003,0.7120896991456755,1.0,30,726,1.0325974120376429,-0.09451274856367273,28.420886690811603,82.855,5.2941666666666665,77.56083333333333
